E_L93	N_L93	nb_m2	g_m2	Nb_0.25m2	g_0.25m2	Points	Annee
378791.616	6404752.636	46	286.6	23	143.3	S4_7	2003
378272.826	6405724.733	26	195	13	97.5	S4_8	2003
379008.121	6404074.166	0	0	0	0,0	S4_9	2003
371975.639	6410742.283	16	143.6	4	35.9	S6_1	2003
372921.93	6411397.097	30	323.34	7.5	80.835	S6_10	2003
372117.272	6412180.822	38	295.890026495028	9.5	73.9725066237571	S6_11	2003
372235.782	6410914.006	2	2.8	0.5	0.7	S6_12	2003
373141.515	6411552.441	96	739.957573433098	24	184.989393358274	S6_13	2003
372633.152	6412190.829	134	645.409006522598	33.5	161.35225163065	S6_14	2003
373886.944	6411402.239	40	185.16	10	46.29	S6_15	2003
373171.514	6412125.549	30	249.905490484214	7.5	62.4763726210534	S6_16	2003
372362.168	6411055.68	70	484.679590173	17.5	121.16989754325	S6_17	2003
372776.954	6411404.693	16	150.033333333333	4	37.5083333333333	S6_18	2003
374167.902	6411721.254	248	1750.25895866481	62	437.564739666203	S6_19	2003
372438.563	6411756.121	76	575.284290392819	19	143.821072598205	S6_2	2003
372268.208	6411783.598	18	161.193626208084	4.5	40.298406552021	S6_20	2003
372186.941	6410990.723	4	13.4	1	3.35	S6_21	2003
372642.453	6412116.189	24	178.02	6	44.505	S6_22	2003
373028.869	6412429.625	4	45.14	1	11.285	S6_23	2003
373768.049	6411908.973	6	77.4	1.5	19.35	S6_24	2003
372100.767	6411866.541	0	0	0	0,0	S6_25	2003
373234.737	6411566.101	70	643.354069439251	17.5	160.838517359813	S6_26	2003
373416.457	6412261.036	12	118.04	3	29.51	S6_27	2003
373896.312	6412087.652	2	16.6	0.5	4.15	S6_3	2003
373442.705	6411499.607	6	39.7	1.5	9.925	S6_4	2003
372467.83	6411810.199	90	449.599273450536	22.5	112.399818362634	S6_5	2003
374102.338	6411984.206	30	260.2	7.5	65.05	S6_6	2003
373034.893	6412040.012	14	53.82	3.5	13.455	S6_8	2003
372543.994	6411750.591	78	561.869824131056	19.5	140.467456032764	S6_9	2003
370631.221	6410312.507	0	0	0	0,0	Z1_1	2003
372128.713	6409881.486	8	17.6	2	4.4	Z1_10	2003
371802.057	6409954.258	28	280.2	7	70.05	Z1_11	2003
371476.38	6410045.532	14	137.44	3.5	34.36	Z1_12	2003
370848.952	6410430.796	80	801.4	20	200.35	Z1_13	2003
372081.242	6410236.205	8	49.4	2	12.35	Z1_14	2003
371555.904	6410300.887	36	380.4	9	95.1	Z1_15	2003
371043.757	6410364.918	6	35.2	1.5	8.8	Z1_16	2003
370799.564	6411249.09	8	95.8	2	23.95	Z1_17	2003
370762.483	6411047.123	10	112.6	2.5	28.15	Z1_18	2003
370845.462	6411116.902	2	20.4	0.5	5.1	Z1_19	2003
370753.757	6410380.199	6	58.8	1.5	14.7	Z1_2	2003
371098.88	6410658.628	2	24	0.5	6,0	Z1_20	2003
371603.771	6410205.678	54	578.6	13.5	144.65	Z1_21	2003
371522.304	6409913.349	2	35.6	0.5	8.9	Z1_22	2003
370877.265	6410466.381	88	963.4	22	240.85	Z1_3	2003
371389.744	6411162.39	50	501.2	12.5	125.3	Z1_4	2003
371926.528	6410058.948	12	142	3	35.5	Z1_5	2003
370790.379	6410322.654	8	108.4	2	27.1	Z1_6	2003
370806.433	6410877.96	0	0	0	0,0	Z1_7	2003
370646.314	6410849.325	0	0	0	0,0	Z1_8	2003
372126.206	6410085.539	0	0	0	0,0	Z1_9	2003
373674.012	6409856.174	0	0	0	0,0	Z2_1	2003
374753.015	6410522.869	0	0	0	0,0	Z2_10	2003
373566.961	6410084.224	2	23.68	0.5	5.92	Z2_11	2003
375738.048	6410657.023	2	26.8	0.5	6.7	Z2_12	2003
375424.041	6410209.893	48	436.858973578646	12	109.214743394662	Z2_13	2003
374834.697	6410314.699	62	447.12	15.5	111.78	Z2_14	2003
375084.761	6410802.205	4	91.72	1	22.93	Z2_15	2003
375087.646	6410857.668	12	119.26	3	29.815	Z2_16	2003
373985.904	6410006.728	12	107.7	3	26.925	Z2_2	2003
375651.019	6410253.714	4	40.64	1	10.16	Z2_3	2003
374027.382	6410041.64	26	218.212952233887	6.5	54.5532380584717	Z2_4	2003
375870.317	6410149.64	16	183.948141179868	4	45.987035294967	Z2_5	2003
375506.977	6410279.734	34	337.092503301625	8.5	84.2731258254064	Z2_6	2003
375109.483	6411023.371	114	819.392	28.5	204.848	Z2_7	2003
374276.237	6410251.111	4	48.16	1	12.04	Z2_8	2003
375086.97	6411098.693	184	949.72611919583	46	237.431529798958	Z2_9	2003
376578.518	6407999.636	0	0	0	0,0	Z3_1	2003
376617.869	6407738.071	12	172.1	3	43.025	Z3_10	2003
